EMPLOYEE_ID,SALARY,MANAGER,DEPARTMENT
R000001,7854,Eva,Tester
R000002,3594,Colin,Engineering
R000003,2246,Bob,Tester
R000004,5711,Albert,Schoonmaak
R000005,9962,Diana,Tester
R000006,3560,Eva,Schoonmaak
R000007,8274,Albert,Management
R000008,4400,Albert,Tester
R000009,4243,Colin,Schoonmaak
R000010,5864,Bob,Engineering
R000011,3939,Colin,Management
R000012,7025,Bob,Tester
R000013,9833,Colin,Schoonmaak
R000014,9549,Albert,Tester
R000015,5069,Diana,Schoonmaak
R000016,8788,Bob,Tester
R000017,2226,Eva,Management
R000018,8844,Eva,Management
R000019,5547,Albert,Tester
R000020,9644,Colin,Tester
R000021,2264,Colin,Sales
R000022,3395,Albert,Tester
R000023,5557,Eva,Tester
R000024,7553,Eva,Management
R000025,2645,Colin,Tester
R000026,8354,Bob,Engineering
R000027,9739,Diana,Tester
R000028,9544,Bob,Sales
R000029,7514,Eva,Schoonmaak
R000030,7569,Bob,Management
R000031,4990,Diana,Engineering
R000032,7483,Bob,Schoonmaak
R000033,3899,Bob,Engineering
R000034,4504,Bob,Management
R000035,4772,Bob,Sales
R000036,9895,Albert,Management
R000037,7345,Eva,Engineering
R000038,7077,Diana,Engineering
R000039,3154,Eva,Management
R000040,2587,Albert,Tester
R000041,6571,Albert,Management
R000042,3821,Albert,Sales
R000043,2985,Albert,Management
R000044,6079,Bob,Schoonmaak
R000045,5348,Eva,Tester
R000046,8299,Colin,Schoonmaak
R000047,5831,Diana,Management
R000048,3241,Albert,Tester
R000049,2189,Eva,Schoonmaak
R000050,7536,Albert,Schoonmaak
R000051,2980,Albert,Tester
R000052,3698,Albert,Tester
R000053,3715,Albert,Engineering
R000054,4593,Albert,Tester
R000055,6136,Diana,Management
R000056,8450,Eva,Sales
R000057,7038,Albert,Engineering
R000058,6433,Albert,Tester
R000059,7433,Albert,Sales
R000060,3098,Albert,Engineering
R000061,9096,Bob,Management
R000062,4326,Bob,Sales
R000063,5247,Colin,Tester
R000064,2895,Albert,Tester
R000065,9829,Colin,Management
R000066,8416,Diana,Engineering
R000067,8980,Colin,Sales
R000068,8763,Eva,Management
R000069,3674,Bob,Engineering
R000070,4909,Bob,Schoonmaak
R000071,9950,Albert,Schoonmaak
R000072,2930,Albert,Engineering
R000073,6384,Diana,Tester
R000074,2723,Diana,Tester
R000075,4940,Eva,Schoonmaak
R000076,8415,Albert,Tester
R000077,8049,Albert,Tester
R000078,3089,Diana,Engineering
R000079,6578,Diana,Engineering
R000080,2935,Diana,Tester
R000081,4295,Bob,Engineering
R000082,2155,Colin,Sales
R000083,3070,Colin,Schoonmaak
R000084,3958,Albert,Sales
R000085,4501,Bob,Sales
R000086,8344,Diana,Tester
R000087,7779,Albert,Tester
R000088,6219,Bob,Sales
R000089,8144,Eva,Sales
R000090,7063,Bob,Management
R000091,5830,Albert,Management
R000092,2854,Colin,Schoonmaak
R000093,2639,Diana,Sales
R000094,4238,Eva,Engineering
R000095,3602,Bob,Management
R000096,8659,Albert,Tester
R000097,2441,Albert,Sales
R000098,8040,Diana,Engineering
R000099,7934,Albert,Engineering
R000100,7925,Albert,Engineering
R000101,8286,Diana,Tester
R000102,9358,Eva,Management
R000103,6628,Colin,Engineering
R000104,8370,Colin,Management
R000105,3336,Bob,Schoonmaak
R000106,5700,Eva,Tester
R000107,2948,Bob,Management
R000108,5373,Colin,Management
R000109,9821,Diana,Engineering
R000110,8115,Albert,Engineering
R000111,2459,Colin,Tester
R000112,9568,Eva,Management
R000113,6646,Colin,Sales
R000114,2392,Eva,Engineering
R000115,5938,Eva,Engineering
R000116,3787,Eva,Schoonmaak
R000117,6940,Bob,Tester
R000118,9374,Diana,Management
R000119,4257,Colin,Management
R000120,3138,Diana,Management
R000121,5808,Albert,Engineering
R000122,6741,Colin,Tester
R000123,9418,Diana,Management
R000124,8362,Diana,Sales
R000125,4454,Albert,Schoonmaak
R000126,3466,Eva,Schoonmaak
R000127,5674,Colin,Management
R000128,3377,Colin,Engineering
R000129,9031,Albert,Schoonmaak
R000130,8701,Eva,Schoonmaak
R000131,4597,Colin,Schoonmaak
R000132,2141,Colin,Schoonmaak
R000133,4659,Colin,Management
R000134,6596,Eva,Tester
R000135,2839,Albert,Tester
R000136,8845,Colin,Engineering
R000137,5618,Diana,Sales
